dbms, schema, vm_time, vm_killed, vm_total, vm_score, selection_time, selection_killed, selection_total, selection_score
HyperSQL, BankAccount, 219, 23, 26, 0.88462, 243, 8, 8, 1.00000
HyperSQL, BankAccount, 216, 23, 26, 0.88462, 238, 7, 8, 0.87500
HyperSQL, BankAccount, 221, 23, 26, 0.88462, 236, 7, 7, 1.00000
HyperSQL, BankAccount, 236, 23, 26, 0.88462, 260, 9, 9, 1.00000
HyperSQL, BankAccount, 218, 23, 26, 0.88462, 225, 6, 7, 0.85714
HyperSQL, BankAccount, 226, 23, 26, 0.88462, 227, 8, 8, 1.00000
HyperSQL, BankAccount, 216, 23, 26, 0.88462, 238, 7, 8, 0.87500
HyperSQL, BankAccount, 211, 23, 26, 0.88462, 217, 7, 7, 1.00000
HyperSQL, BankAccount, 212, 23, 26, 0.88462, 229, 8, 8, 1.00000
HyperSQL, BankAccount, 240, 23, 26, 0.88462, 272, 7, 9, 0.77778
HyperSQL, BankAccount, 217, 23, 26, 0.88462, 228, 8, 8, 1.00000
HyperSQL, BankAccount, 218, 23, 26, 0.88462, 236, 7, 8, 0.87500
HyperSQL, BankAccount, 214, 23, 26, 0.88462, 229, 5, 7, 0.71429
HyperSQL, BankAccount, 215, 23, 26, 0.88462, 221, 6, 7, 0.85714
HyperSQL, BankAccount, 212, 23, 26, 0.88462, 218, 2, 5, 0.40000
HyperSQL, BankAccount, 243, 23, 26, 0.88462, 248, 7, 8, 0.87500
HyperSQL, BankAccount, 216, 23, 26, 0.88462, 231, 8, 8, 1.00000
HyperSQL, BankAccount, 216, 23, 26, 0.88462, 220, 6, 7, 0.85714
HyperSQL, BankAccount, 223, 23, 26, 0.88462, 242, 7, 8, 0.87500
HyperSQL, BankAccount, 213, 23, 26, 0.88462, 230, 7, 8, 0.87500
HyperSQL, BankAccount, 217, 23, 26, 0.88462, 233, 6, 7, 0.85714
HyperSQL, BankAccount, 215, 23, 26, 0.88462, 245, 5, 7, 0.71429
HyperSQL, BankAccount, 214, 23, 26, 0.88462, 221, 7, 7, 1.00000
HyperSQL, BankAccount, 211, 23, 26, 0.88462, 235, 8, 8, 1.00000
HyperSQL, BankAccount, 213, 23, 26, 0.88462, 254, 7, 8, 0.87500
HyperSQL, BankAccount, 223, 23, 26, 0.88462, 232, 7, 8, 0.87500
HyperSQL, BankAccount, 225, 23, 26, 0.88462, 238, 8, 8, 1.00000
