dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
Postgres,ArtistSimilarity,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,62,18,AllOperatorsWithClassifiers,10,12,mutantTiming,false,1038,75,739,9964,11828
Postgres,ArtistTerm,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,132,40,AllOperatorsWithClassifiers,20,26,mutantTiming,false,2684,150,2192,60366,65406
Postgres,BankAccount,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,217,31,AllOperatorsWithClassifiers,23,30,mutantTiming,false,1848,126,1022,32580,35588
Postgres,BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,99.25373134328358,201165,266,AllOperatorsWithClassifiers,206,235,mutantTiming,false,11612,1753,7255,1734839,1755473
Postgres,Cloc,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,178,40,AllOperatorsWithClassifiers,30,30,mutantTiming,false,1196,158,1090,29172,31632
Postgres,CoffeeOrders,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,534,77,AllOperatorsWithClassifiers,51,61,mutantTiming,false,4857,277,3839,253658,262642
Postgres,CustomerOrder,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1153,120,AllOperatorsWithClassifiers,77,96,mutantTiming,false,8562,556,7469,728547,745148
Postgres,DellStore,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1669,177,AllOperatorsWithClassifiers,156,156,mutantTiming,false,4814,890,4208,577397,587323
Postgres,Employee,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,392,35,AllOperatorsWithClassifiers,41,45,mutantTiming,false,1514,134,731,28454,30846
Postgres,Examination,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1239,103,AllOperatorsWithClassifiers,107,114,mutantTiming,false,4669,422,3534,373933,382573
Postgres,Flights,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,18677,66,AllOperatorsWithClassifiers,42,48,mutantTiming,false,6042,195,2120,98688,107055
Postgres,FrenchTowns,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1276,53,AllOperatorsWithClassifiers,87,106,mutantTiming,false,3678,356,2519,290846,297411
Postgres,Inventory,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,100,16,AllOperatorsWithClassifiers,17,21,mutantTiming,false,811,93,438,9262,10617
Postgres,Iso3166,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,52,9,AllOperatorsWithClassifiers,7,11,mutantTiming,false,483,60,230,2693,3477
Postgres,IsoFlav_R2,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1211,177,AllOperatorsWithClassifiers,191,219,mutantTiming,false,5494,954,5114,1052188,1063765
Postgres,JWhoisServer,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1822,152,AllOperatorsWithClassifiers,140,190,mutantTiming,false,5045,898,4067,667062,677084
Postgres,MozillaExtensions,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,3613,226,AllOperatorsWithClassifiers,298,364,mutantTiming,false,7164,3423,5885,2158543,2175029
Postgres,MozillaPermissions,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,238,32,AllOperatorsWithClassifiers,29,31,mutantTiming,false,1116,115,758,24306,26310
Postgres,NistDML181,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,186,37,AllOperatorsWithClassifiers,18,20,mutantTiming,false,1746,118,1264,27114,30256
Postgres,NistDML182,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,3612,176,AllOperatorsWithClassifiers,66,81,mutantTiming,false,6604,1474,5176,429000,442267
Postgres,NistDML183,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,149,34,AllOperatorsWithClassifiers,20,20,mutantTiming,false,1479,118,1088,22196,24896
Postgres,NistWeather,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1044,52,AllOperatorsWithClassifiers,29,35,mutantTiming,false,2552,146,1461,54386,58559
Postgres,NistXTS748,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,118,16,AllOperatorsWithClassifiers,17,19,mutantTiming,false,695,87,337,6368,7499
Postgres,NistXTS749,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,336,37,AllOperatorsWithClassifiers,21,26,mutantTiming,false,1702,124,1492,33761,37093
Postgres,Person,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,3591,19,AllOperatorsWithClassifiers,17,23,mutantTiming,false,2042,88,377,9135,11656
Postgres,Products,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,97.87234042553192,107452,46,AllOperatorsWithClassifiers,40,53,mutantTiming,false,7976,210,1905,92094,102199
Postgres,RiskIt,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,3353,245,AllOperatorsWithClassifiers,186,209,mutantTiming,false,12507,1974,11063,2380786,2406345
Postgres,StackOverflow,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,2384,171,AllOperatorsWithClassifiers,129,129,mutantTiming,false,4777,448,3933,511766,520940
Postgres,StudentResidence,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,200,30,AllOperatorsWithClassifiers,34,40,mutantTiming,false,1465,160,1063,37807,40508
Postgres,UnixUsage,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1456,147,AllOperatorsWithClassifiers,86,100,mutantTiming,false,11212,679,10564,1039570,1062038
Postgres,Usda,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1912,247,AllOperatorsWithClassifiers,201,201,mutantTiming,false,6477,1325,5759,1116432,1130008
Postgres,WordNet,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,744,127,AllOperatorsWithClassifiers,82,107,mutantTiming,false,3733,359,3181,354217,361506
Postgres,ArtistSimilarity,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,62,18,AllOperatorsWithClassifiers,10,12,mutantTiming,false,1179,74,1125,9472,11861
Postgres,ArtistTerm,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,132,40,AllOperatorsWithClassifiers,20,26,mutantTiming,false,2634,140,2393,61524,66702
Postgres,BankAccount,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,217,31,AllOperatorsWithClassifiers,23,30,mutantTiming,false,1515,135,1013,33800,36477
Postgres,BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,99.25373134328358,201165,266,AllOperatorsWithClassifiers,206,235,mutantTiming,false,12432,1757,7718,1745105,1767022
Postgres,Cloc,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,178,40,AllOperatorsWithClassifiers,30,30,mutantTiming,false,1177,126,1047,28054,30417
Postgres,CoffeeOrders,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,534,77,AllOperatorsWithClassifiers,51,61,mutantTiming,false,4607,287,4637,252871,262416
Postgres,CustomerOrder,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,1153,120,AllOperatorsWithClassifiers,77,96,mutantTiming,false,8425,551,7434,731750,748171
Postgres,DellStore,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,1669,177,AllOperatorsWithClassifiers,156,156,mutantTiming,false,4713,819,3946,575924,585414
Postgres,Employee,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,392,35,AllOperatorsWithClassifiers,41,45,mutantTiming,false,1297,131,751,28954,31146
Postgres,Examination,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,1239,103,AllOperatorsWithClassifiers,107,114,mutantTiming,false,4796,495,3587,373631,382522
Postgres,Flights,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,13912,66,AllOperatorsWithClassifiers,42,48,mutantTiming,false,5283,190,2025,101712,109223
Postgres,FrenchTowns,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,1345,53,AllOperatorsWithClassifiers,87,106,mutantTiming,false,3838,322,2576,287480,294232
Postgres,Inventory,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,100,16,AllOperatorsWithClassifiers,17,21,mutantTiming,false,1728,90,483,9744,12059
Postgres,Iso3166,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,52,9,AllOperatorsWithClassifiers,7,11,mutantTiming,false,473,65,233,2632,3417
Postgres,IsoFlav_R2,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,1281,177,AllOperatorsWithClassifiers,191,219,mutantTiming,false,5408,932,4842,1049056,1060254
Postgres,JWhoisServer,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,1822,152,AllOperatorsWithClassifiers,140,190,mutantTiming,false,4853,890,3458,676147,685364
Postgres,MozillaExtensions,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,3543,226,AllOperatorsWithClassifiers,298,364,mutantTiming,false,7434,3436,5989,2154109,2170980
Postgres,MozillaPermissions,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,238,32,AllOperatorsWithClassifiers,29,31,mutantTiming,false,1410,114,867,25385,27788
Postgres,NistDML181,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,263,37,AllOperatorsWithClassifiers,18,20,mutantTiming,false,1659,118,1364,27493,30647
Postgres,NistDML182,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,3564,176,AllOperatorsWithClassifiers,66,81,mutantTiming,false,7053,1464,5268,420538,434335
Postgres,NistDML183,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,123,34,AllOperatorsWithClassifiers,20,20,mutantTiming,false,1451,120,1187,22450,25218
Postgres,NistWeather,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,1069,52,AllOperatorsWithClassifiers,29,35,mutantTiming,false,2427,145,1562,54772,58921
Postgres,NistXTS748,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100.0,118,16,AllOperatorsWithClassifiers,17,19,mutantTiming,false,703,85,471,6284,7558
