dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken
Postgres,ArtistSimilarity,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,62,18,AllOperatorsWithRemovers,8,8,virtual,false,1057,78,20,74,1233
Postgres,ArtistTerm,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,132,40,AllOperatorsWithRemovers,20,20,virtual,false,2570,145,21,190,2930
Postgres,BankAccount,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,217,31,AllOperatorsWithRemovers,23,26,virtual,false,1452,130,19,210,1814
Postgres,BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,99.25373134328358,201165,266,AllOperatorsWithRemovers,206,213,virtual,false,11475,1632,32,1254,14396
Postgres,BrowserCookies,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,10366,72,AllOperatorsWithRemovers,75,81,virtual,false,5006,269,41,839,6159
Postgres,Cloc,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,178,40,AllOperatorsWithRemovers,30,30,virtual,false,1147,166,10,161,1487
Postgres,CoffeeOrders,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,534,77,AllOperatorsWithRemovers,51,51,virtual,false,4889,259,37,521,5709
Postgres,CustomerOrder,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1153,120,AllOperatorsWithRemovers,77,82,virtual,false,8910,539,61,1297,10811
Postgres,DellStore,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1669,177,AllOperatorsWithRemovers,156,156,virtual,false,4544,803,27,1471,6848
Postgres,Employee,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,392,35,AllOperatorsWithRemovers,41,43,virtual,false,1312,133,23,343,1814
Postgres,Examination,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1239,103,AllOperatorsWithRemovers,107,110,virtual,false,4511,397,56,1384,6351
Postgres,Flights,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,18677,66,AllOperatorsWithRemovers,42,44,virtual,false,5691,182,36,552,6465
Postgres,FrenchTowns,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1276,53,AllOperatorsWithRemovers,74,93,virtual,false,3698,331,36,637,4707
Postgres,Inventory,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,100,16,AllOperatorsWithRemovers,16,18,virtual,false,760,92,15,116,985
Postgres,Iso3166,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,52,9,AllOperatorsWithRemovers,7,9,virtual,false,493,67,13,52,629
Postgres,IsoFlav_R2,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100.0,1211,177,AllOperatorsWithRemovers,191,219,virtual,false,5616,975,42,1119,7756
